"vacancy_url","id","vacancy_name","text_clean","skills_final","experience_years_min"
https://hh.ru/vacancy/129592277,15,Аналитик данных / экономист инвестиционных проектов,"46 органов исполнительной власти 132 территориальных органа 2 500+ подведомственных организаций 4 000+ вакансий каждый месяц 900 000+ сотрудников работа в правительстве москвы — это возможность делать наш город современнее и удобнее. если ты тоже неравнодушен к москве, хочешь развивать ее и развиваться сам, присоединяйся к нашей команде! обязанности: аналитика данных, структурирование данных, сбор недостающей информации, формулирование выводов визуализация данных (построение графиков, создание презентаций, дашбордов) работа с базами данных, с большими объемами данных и различными источниками подготовка экспертно-аналитических материалов, прогнозов, финансовых моделей по вопросам развития территорий города москвы финансовый анализ, моделирование и прогнозирование эффектов для проектов, организаций, секторов экономики при реализации различных сценариев социально-экономического развития города москвы и российской федерации, сценариев предоставления различных мер государственной поддержки, прогнозирование показателей коммерческой и бюджетной эффективности мероприятий по развитию территорий проведение анализа изменения сценарных условий и корректировка финансово-экономических моделей применение алгоритмов машинного обучения для построения моделей данных описание моделей данных разработка парсеров для извлечения данных из различных источников: веб-сайты, базы данных, api требования: оконченное высшее образование по направлению экономика, финансы или бизнес-информатика аналогичный опыт работы от 1 года навыки работы с программами пакета ms office (power point, word), продвинутый пользователь excel (умение работать с макросами, сводными таблицами, vba, power bi) знание языка программирования python обязательно, знание django как преимущество опыт работы с библиотеками для обработки данных (например, pandas) знания в области макроэкономики и микроэкономики, эконометрики, статистики знание основ статистики, методологий федеральной службы государственной статистики знание основных нпа рф в сфере экономической и инвестиционной политики коммуникабельность, ответственность, аналитический склад ума, умение работать в режиме многозадачности и в команде условия: работа в динамично развивающейся организации интересные и амбициозные задачи профессиональный коллектив, возможность профессионального развития и карьерного роста стабильная заработная плата график работы 5/2 с 09:00 до 18:00, в пятницу сокращенный рабочий день до 16:45 офис на станции метро арбатская наши преимущества: стабильная заработная плата работа в команде профессионалов официальное трудоустройство профессиональное обучение и развитие самореализация через ключевые проекты москвы возможность построить карьеру с главным работодателем москвы","['python', 'django', 'pandas', 'ms office', 'power bi', 'sql']",1.0
https://hh.ru/vacancy/129853395,34,Data Engineer (разработчик DWH),"задаем тренды в технологиях ритейла x5 group — российская розничная торговая компания, управляющая продуктовыми торговыми сетями «пятёрочка», «перекрёсток» и «чижик», а также цифровыми сервисами «vprok.ru перекрёсток», 5post, «много лосося» и медиаплатформой food.ru. x5 tech - it-компания и основной цифровой партнер торговых сетей и бизнесов x5 group. команда из более 4000 специалистов разрабатывает решения, которые помогают 372 тысячам сотрудников группы работать с максимальным технологическим комфортом, а миллионам покупателей быстро и удобно покупать свежие продукты. в x5 технологии открыта позиция ""инженер обработки данных"" со знанием flink проектирование платформы потоковой обработки данных наш стек: trino, apache airflow, clickhouse, python, spark, sql, s3, flink основные задачи: проектирование, разработка и сопровождение стриминговых/батчевых пайплайнов реализация бизнес‑логики и трансформаций во flink / spark / java в режиме стрима инкрементальная загрузка и выкладка витрин (dbt / trino / iceberg) проектирование хранения и партиционирования в data lake (колоночные форматы, снапшоты, iceberg) построение надёжных схем доставки данных: семантики доставки, идемпотентность, обработка дупликатов документирование архитектуры пайплайнов и участие в принятии архитектурных решений по платформе. что для нас важно: технические навыки: spark, flink, clickhouse, kafka понимание форматов и концепций data lake (iceberg, parquet/orc, снапшоты, инкременты) умение мыслить потоками данных: от события до витрины, а не только «запросами» опыт работы с дашбордами/витринами через trino/sql/dbt будет плюсом софт‑скиллы: системное мышление, инициативность, готовность обсуждать архитектуру и учиться новым паттернам. что мы предлагаем: официальное оформление с белой зп полугодовые премии по результатам работы возможность работать удалённо или в гибридном формате удобный офис рядом с м. «добрынинская» / офис с бесплатной парковкой на м. «волгоградский проспект» или мцд «калитники» гибкий график начала работы широкий пакет дмс (включая выезд за рубеж и стоматологию), страхование жизни и здоровья возможность учиться и развиваться за счёт компании: внешние тренинги и семинары по профессиональным тематикам, участие в крупнейших конференциях страны, программы развития цифровых и управленческих навыков (цифровая академия, школа тимлидов), онлайн и офлайн мастер-классы, корпоративный университет «x5 полка», школа наставников и многое другое программы мотивации для спикеров и авторов: внутренняя школа speak up school, write up, ачивки и баллы за выступления, подготовка спикеров к крупнейшим конференциям страны, сообщество авторов на хабре, возможность шерить опыт с комьюнити внутренних и внешних экспертов обмен опытом через cообщества: 12 технических комьюнити от java до devops яркая корпоративная жизнь с большим количеством мероприятий, конкурсов и возможностей для творческой реализации: регулярные внутренние митапы, демо-дни, открытые микрофоны, день it-специалиста, программы волонтерства, корпоративное предпринимательство x5 idea challenge забота о благополучии сотрудников: 7 спортивных сообществ (бег, футбол, волейбол, баскетбол, хоккей, лыжи, триатлон), ежегодная неделя здоровья скидки в экосистеме бизнесов х5 («пятёрочка», «перекрёсток», «много лосося», «перекресток впрок») программа привилегий prime-zone (скидки на товары и услуги и специальные предложения от компаний-партнёров) материальная помощь сотрудникам, попавшим в сложную жизненную ситуацию. ооо ""корпоративный центр икс 5"" представляет бренд х5 тech нашими решениями пользуются десятки тысяч людей внутри компании и миллионы клиентов вовне сообщество экспертов: можно общаться и обмениваться опытом на митапах, демо-днях и конференциях мы поможем развиваться: цифровая академия, лидерский клуб, школы технических специалистов х5 — это стабильная компания. у нас достаточно ресурсов для того, чтобы сотрудники чувствовали себя комфортно и уверенно в x5 много проектов и направлений, между которыми можно перемещаться гибридный формат работы. в х5 можно работать в офисе, дома или совмещать ключевые навыки sql python big data apache airflow apache kafka etl spark java","['sql', 'python', 'big data', 'apache airflow', 'apache kafka', 'etl', 'spark', 'java', 'flink', 'clickhouse', 'kafka', 'trino', 'dbt', 'iceberg']",3.0
https://hh.ru/vacancy/129525525,92,Аналитик данных,"центр компетенций бизнес аналитики и финансового планирования находится в поиске специалиста по анализу данных. предстоит решать сложные, но интересные исследовательские задачи с целью поиска точек роста бизнеса сбера. что нужно делать: проводить комплексные аналитические исследования и строить модели для выявления ключевых факторов влияния на бизнес-показатели анализировать большие объемы данных с использованием инструментов sql, python, hadoop и excel выявлять тренды и закономерности, готовить отчеты и визуализировать данные взаимодействовать с продуктовыми командами для разработки и внедрения аналитических решений участвовать в разработке и внедрении системы ad-hoc аналитики для территориальных руководителей защищать исследовательские выводы и рекомендации перед заинтересованными сторонами. мы ждем, что у тебя: высшее образование в сфере финансов, экономики, математики или информационных технологий опыт работы (написание и оптимизация запросов, проектирование витрин и т.п.) на классических субд (teradata, oracle, ms sql, my sql, postgre и т.п.) владение excel на продвинутом уровне опыт работы на hadoop(hive\impala) и\или spark продвинутые знания и практический опыт работы с python критическое мышление и способность эффективно интерпретировать данные умение структурированно представлять результаты анализа и делать выводы желателен опыт работы в финансовой или банковской сфере навыки применения ии в профессиональной деятельности (например, гигачат, кандинский). что мы предлагаем: высокая конкурентная зарплата и корпоративные бонусы работа 5/2, возможность формировать под себя и свои привычки рабочий график современный и комфортный офис в центре нижнего новгорода (ул. костина), рядом с метро корпоративное обучение в виртуальной школе сбера, регулярные внутренние митапы дмс с первого дня работы для сотрудников и льготное страхование для близких гибкий дисконт по ипотечному кредиту, равный 1/3 ключевой ставки цб дружелюбный коллектив и либеральное руководство насыщенная корпоративная жизнь. стабильность и социальная поддержка сотрудников корпоративное обучение за счет компании льготы по ипотеке для сотрудников дмс с первого дня и льготное страхование для близких","['sql', 'python', 'hadoop', 'excel']",1.0
https://hh.ru/vacancy/130038332,162,Data Engineer по построению DWH,"компания ecofinance развивает и внедряет продукты онлайн-кредитования для более чем 4,6 млн зарегистрированных клиентов. ecofinance входит в десятку крупнейших мфк в россии по объему выданных займов. наша компания помогает получить заём в режиме онлайн за считанные минуты — надёжно, без похода в филиал и с качественным дальнейшим обслуживанием. мы молодая и активная команда с опытом работы в банковской и финансовой сфере. мы верим в то, что финансовые услуги должны быть простыми и доступными. мы объединяем современные технологии, процессы и финансы в самый удобный для клиента формат. это дает миллионам клиентов доступ к финансовым сервисам в один клик или звонок. кратко о нашем проекте: цифровое пространство, объединяющее все необходимые инструменты и сервисы для предоставления финансовых услуг в россии и европейских странах - бэк офисы, crm системы, маркетинговый инструментарий, приложение по no-codeвизуальному программированию рисковой логики принятия решений и управление телефонией. наши проекты состоят из множества сервисов интегрированных между собой, что позволяет создавать многофункциональные бизнес решения и иметь контроль над каждой частью процесса. мы в поиске data engineer для усиления текущей команды! обязанности: архитектура и технологии проектирование и оптимизация многослойной dwh-архитектуры на postgresql (data-инструменты kafka, debezium, dbt, airflow); миграция bi; ведение проекта миграции дата-платформы из looker в finebi: перенос дашбордов, настройка ассоциаций и формул; etl и процессы; настройка, мониторинг и поддержка etl-пайплайнов: загрузка через kafka,debezium, dbt; bi и аналитика; разработка и сопровождение аналитических дашбордов/отчетов в finebi. требования: образование и soft skills: высшее образование в информатике, прикладной математике, экономике или смежных областях. способность решать сложные аналитические задачи с вниманием к деталям и предлагать data-driven улучшения процессов. технический стек: streaming и cdc: опыт работы с kafka и debezium для потоковой передачи и change data capture; etl и оркестрация: глубокое знание sql (запросы, оптимизация больших бд), python (анализ, автоматизация), процессы etl (проектирование, оптимизация), планировщики (airflow, dbt, dkron); dwh и автоматизация: построение многослойных хранилищ данных, разработка и поддержка автоматизированных пайплайнов обработки; bi-инструменты: looker, finebi, power bi, superset — создание дашбордов, отчетов и визуализаций. преимущество: знание процессов управления данными (data governance) в финансовом секторе (мфо, банки). условия работы: возможность влиять на ключевые бизнес-процессы компании; работу с сильной командой и современными технологиями; конкурентную зарплату и гибкий формат работы; офис в центре москвы, метро цветной бульвар; балуем своих коллег вкусным кофе и свежими фруктами; программа корпоративных скидок bestbenefits; дополнительное медицинское страхование здоровья. ключевые навыки etl sql dwh apache kafka debezium bi dbt apache airflow dkron postgresql finebi looker (bi)","['etl', 'sql', 'dwh', 'apache kafka', 'debezium', 'bi', 'dbt', 'apache airflow', 'dkron', 'postgresql', 'finebi', 'looker (bi)', 'kafka', 'airflow', 'looker', 'power bi', 'superset']",3.0
https://hh.ru/vacancy/130308940,65,Senior Data Scientist,"создавай инновации в атмосфере свободы — и расширяй рамки своих возможностей расширяй возможности — и лови бенефиты сильной компании выбирай место хочешь поработать из дома или сорваться в другую точку мира? понимаем. мы практикуем гибридный формат работы, поэтому сотрудники живут активно и меняют локации пользуйся бонусами тебе будут доступны дмс со стоматологией и лекарствами с возможностью бесплатно добавить двух близких родственников, мобильная связь (ну, конечно), компенсация тренировок в фитнес - клубе, онлайн психолог и годовой бонус по результатам достижения kpi территория возможностей здесь тебя примут таким, какой ты есть, поддержат, направят и откроют множество возможностей профессиональное развитие у нас принято делиться знаниями, подходами в работе и удачными решениями. поэтому мы устраиваем внутренние и внешние митапы, ездим с докладами по разным городам и странам мы ищем опытного специалиста по анализу данных, готового принять вызов и присоединиться к нашей команде в качестве senior data scientist. наш идеальный кандидат - это инициативный и талантливый профессионал, обладающий глубокими знаниями в области машинного обучения, статистического анализа и предиктивного моделирования. нужно уметь: разрабатывать и внедрять скоринговые модели; строить модели прогнозирования дефолта и вероятности погашения кредита; проводить сегментацию клиентской базы по уровню кредитного риска; мониторить качество моделей, проводить регулярную валидацию и обновление; оценивать качество моделей с использованием метрик gini, ks, psi, roc-auc; работать с python и ml-библиотеками; писать сложные sql-запросы с агрегациями и оконными функциями. нас интересует: опыт работы data scientist от 2 лет; практический опыт разработки скоринговых моделей или моделей кредитного риска (обязательно); понимание принципов кредитного скоринга и бизнес-процессов кредитования; будет плюсом опыт работы в финансовом секторе или телекоме; будет преимуществом опыт внедрения и мониторинга моделей в production; знание методов калибровки вероятностей — как плюс. зарплата - это еще не всё гибридный формат работы и гибкое начало рабочего дня; профессиональное развитие: участие в митапах, тренингах, конференциях, демо-днях и хакатонах; дополнительные 4 дня отпуска — итого 28 календарных дней за год; годовой бонус по результатам достижения kpi; корпоративная сотовая связь; добровольная медицинская страховка со стоматологией и лекарствами с возможностью бесплатно добавить двух близких родственников; фитнес-абонементы со скидкой и в рассрочку; онлайн-платформа бесплатной психологической помощи; доступ к корпоративной онлайн-библиотеке mybook. добро пожаловать на территорию возможностей подписаться","['python', 'ml-библиотеки', 'sql']",1.0
https://hh.ru/vacancy/129572125,80,Data Engineer Middle,"международная продуктовая it компания, которая занимается разработкой и поддержкой высоконагруженных проектов для крупных компаний, основная часть которых представляет собой развлекательные онлайн-сервисы, в поисках data engineer. чем предстоит заниматься: разработка и оптимизация etl/elt-процессов на существующем стеке данных; улучшение систем алертинга и мониторинга качества данных; разработка и поддержка агрегатов и витрин данных для tableau и других bi-систем; участие в проектировании архитектуры хранения и потоков данных; оптимизация производительности clickhouse и mongodb; работа с большими объемами данных и обеспечение их надежности и целостности; совместная работа с аналитиками и другими командами для улучшения доступности и понятности данных. необходимые навыки и опыт: опыт работы в роли data engineer от 2 лет; глубокие знания и практический опыт работы с : clickhouse - оптимизация запросов, партиционирование, агрегации; airflow - оркестрация и планирование пайплайнов; liquibase - контроль версий схем и миграции данных; mongodb - работа с большими объемами документов, настройка репликаций. понимание принципов построения etl/elt-процессов и архитектур потоков данных; уверенные знания sql и python; опыт работы с bi-инструментами (tableau, grafana.) - будет преимуществом. что компания может предложить: удаленный, гибридный, офисный формат работы на ваш выбор; возможность развивать свои компетенции и применять знания на практике; возможность поработать на крупных проектах; компания заинтересована в развитии своих сотрудников: готовы привлекать наставников и оплачивать курсы для повышения квалификации; отсутствие бюрократии, быстрое согласование необходимых вещей; оплачиваемые лист нетрудоспособности (больничный лист) и отпускные; дмс после шести месяцев работы; частичная компенсация английского языка или психолога (на выбор); компенсация спортзала; 4 day-off в год за счет компании; компания поддерживает сотрудника в важные периоды жизни; годовой бонус по результатам работы; молодой коллектив, средний возраст в компании- 27 лет; большая высококвалифицированная команда, к которой всегда можно обратиться за помощью. ключевые навыки clickhouse apache airflow liquibase mongodb python sql","['clickhouse', 'airflow', 'liquibase', 'mongodb', 'python', 'sql']",1.0
https://hh.ru/vacancy/129782730,81,Senior Data Scientist,"ведущая цифровая экосистема кыргызстана: мобильный оператор №1 о!, цифровой банк o!bank, e-commerce и платежные сервисы, объединённые в суперприложении «мой о!». мы развиваем ai- и data-инфраструктуру по международным стандартам. роль senior data scientist — разработка и внедрение ml- и ai-решений для повышения эффективности бизнеса, превращение данных в прогнозы, инсайты и автоматизацию, включая работу с генеративным ai. основные обязанности: • проектирование и реализация полного цикла ml решений (предиктивных моделей машинного обучения и статистического прогнозирования). • разработка и оптимизация rag-систем и llm-сервисов. • анализ данных для выявления паттернов, драйверов и инсайтов, влияющих на бизнес-решения. • валидация моделей через a/b-тестирование и оценку производительности для обеспечения точности, надежности и стабильности. • проектирование и дообучение (fine-tuning) моделей • разработка систем оценки моделей. • поддержка интеграции предиктивных и генеративных моделей в производственные системы совместно с архитекторами и mlops-инженерами. • участие в развитии корпоративной ии-платформы. внедрение стандартов ci/cd для ml, мониторинга качества моделей в реальном времени и автоматизации переобучения. • документирование гипотез, методологий и результатов; участие в подготовке бизнес-отчетности и презентаций. • сотрудничество с владельцами данных и продуктов для уточнения требований, приоритизации задач и согласования результатов моделей с потребностями бизнеса. • участие в разработке стандартов моделирования и развитии корпоративной ai-платформы. требования к кандидатам: • практический опыт работы от 3 лет в области data science, machine learning или на ролях, связанных с ai в коммерческих проектах. • сильная математическая база (статистика, теория вероятностей, линейная алгебра, оптимизация) или образование в смежной количественной области. • глубокие знания статистического моделирования, проектирования признаков (feature engineering) и методов оценки моделей. • свободное владение python и ключевыми библиотеками ml (pandas, scikit-learn, tensorflow, pytorch и т.д.). • опыт работы с большими наборами данных и инструментами распределенной обработки (sql, spark, airflow или аналоги). • опыт обучения или развертывания предиктивных и/или генеративных ai моделей, векторных баз данных, систем rag. • уверенное владение концепциями mlops и практиками развертывания. практический опыт контейнеризации (docker, k8s) и настройки пайплайнов поставки моделей. • опыт наставничества (mentoring) и руководства проектными командами. • сильное аналитическое мышление, внимание к деталям и умение транслировать выводы из данных в пользу для бизнеса. • свободное владение английским языком (full professional proficiency). будет преимуществом • опыт работы в телекоме, банковской сфере, финтехе или на цифровых платформах. • практический опыт работы с on-premise или облачными ml-средами (aws, azure). • опыт развертывания llm в закрытом контуре (on-premise) с учетом требований безопасности.","['python', 'pandas', 'scikit-learn', 'tensorflow', 'pytorch']",3.0
https://hh.ru/vacancy/128840817,88,Data Scientist в команду рисков МСФО,"стань частью ит-команды газпромбанка! мы объединяем профессионалов в кросс-функциональные команды, которые совершенствуют подходы к внутренней разработке, развивают data science-экспертизу, open source-решения и поддерживают инновации. так создается новая цифровая организация с датацентричной архитектурой. присоединяйся! чем будешь заниматься? разрабатывать регуляторные модели оценки риска для целей мсфо резервирования и пвр (pd, lgd , ead, ltc и др.); поддерживать и обновлять существующие модели; заниматься подготовкой отчетности по моделям для внутренней валидации и цб; вести коммуникацию с валидацией: предоставлять необходимые данные по запросу, отрабатывать комментарии и рекомендации. мы ждем, что вы: занимались построением рисковых моделей; имеете практический опыт полного цикла решения ml задачи: предобработка данных, выбор алгоритмов и тюнинг их параметров, оценка качества моделей, внедрение; работаете в области анализа данных и машинного обучения от 2 лет; знаете статистику и основные методы ml моделирования (линейные, лог, деревья, ансамбли); обладаете хорошими знаниями и владеете sql, python; работали в банковской сфере; умеете автоматизировать процессы моделирования, включающие документирование и мониторинг; закончили высшее образование (в технических областях). что мы предлагаем: достойный уровень вознаграждения; дмс со стоматологией с первого месяца работы; отпуск 33 дня; полное соблюдение тк рф. делаем ставку на open source-решения и собственную разработку не носим галстуки и общаемся без формальностей строим прозрачные карьерные модели и приветствуем горизонтальную ротацию работаем над продуктом на всех этапах производственного цикла, наращивая t-shaped компетенции ао «газпромбанк»","['python', 'sql']",3.0
https://hh.ru/vacancy/130129118,113,Middle Data Analyst,"мы kaspi.kz - крупнейшая технологическая компания в казахстане, миссия которой - улучшать людям жизнь. ежемесячно нашим супер приложением пользуются более 14 млн казахстанцев. в международный проект маркетплейса требуется опытный аналитик данных, который будет проводить первичный аудит данных, анализ качества данных, проводить исследования, расчеты, вести статистику и детальную аналитику. важен опыт управления, менторства и правильного структурирования бэклога. работа полностью из офиса в городе алматы, формата удалёнки и гибрида - нет. чем предстоит заниматься: работа с большими объёмами данных: обработка, анализ; анализировать показатели наших продуктов, находить точки для роста и проблемы, предлагать способы их решения; проведение a/b-экспериментов, анализ результатов и принятие решений на их основе. исследование пользовательского поведения и выявление закономерностей в данных; формирование аналитических отчётов; участие в разработке и развитии продуктов: от бизнес-анализа и разработки до внедрения и поддержки; сегментация клиентов и товаров; требования: опыт анализа и обработки данных от 1 года как аналитик данных/data miner отличное владение python и уверенно использование библиотеки для анализа данных уверенные навыки написания и оптимизации sql-запросов, умение работать с большими объёмами данных; основы статистики; практический опыт проведения a/b-тестирования: формулировка гипотез, интерпретация результатов, оценка статистической значимости; базовые знания инструментов разработки и ci/cd (git, gitlab, jira). опыт в ml-задачах: от сбора данных до внедрения модели в продакшн условия: развитие и карьерный рост; возможность стать частью профессиональной дружной команды kaspi; офис в центре города; обучение, тренинги и курсы за счет компании; бесплатный тренажерный зал в офисе; языковые курсы; электронная библиотека - kaspi books и доступное приложение к нему; chill-зона - уютный дворик, workout-площадка, также удобные скамейки и качели, для полной релаксации :) отсутствие дресс-кода. ключевые навыки python sql анализ данных big data apache airflow","['python', 'sql', 'анализ данных', 'big data', 'apache airflow', 'библиотеки для анализа данных', 'sql-запросы', 'a/b-тестирование', 'git', 'jira']",1.0
https://hh.ru/vacancy/129976482,124,Senior NLP ML Engineer,"кого мы ищем? мы ищем опытных специалистов по работе с большими языковыми моделями, готовых выступить в роли наставников и менторов для других членов команды. если ты уже поднаторел в llm и langchain, и хочешь выйти на новый уровень владения nlp-экспертизой в одном из самых сложных доменов – юридическом, то давай к нам! кто мы? наша междисциплинарная команда (юристы, лингвисты, разработчики и специалисты по data science) создаёт инновационные продукты на стыке искусственного интеллекта и права. основной фокус — разработка ии-агентов для автоматизации юридических процессов, включая анализ договоров, сопровождение сделок и поддержку принятия решений. обязанности чем предстоит заниматься: разрабатывать и совершенствовать ии-агентов для решения юридических задач формализовывать юридические процессы для их автоматизации создавать и оптимизировать промты (prompt engineering) для llm-моделей разрабатывать онтологии и структуры знаний в юридической области анализировать и улучшать работу nlp-сервисов готовить данные для обучения и дообучения языковых моделей взаимодействовать с юристами и разработчиками для интеграции ии-решений требования ты нам подходишь, если: · обладаешь аналитическим и критическим мышлением — умеешь разбирать сложные задачи на составляющие и находить неочевидные решения · имеешь опыт в data science/nlp или разработке ии-решений (от 3 лет) · знаешь основы юридической терминологии или готов быстро погружаться в юридическую тематику · хорошо владеешь python (pandas, numpy, библиотеки для nlp) · имеешь опыт работы с llm (gpt, claude, mistral и др.), включая prompt engineering и тонкую настройку · умеешь работать с инструментами управления задачами (jira, confluence, git) условия мы готовы предложить: * годовая премия по итогам работы до 6 окладов. * регулярный пересмотр зарплат. * корпоративный спортзал и зоны отдыха. * более 400 программ сберуниверситета для роста. * программа адаптации и помощь руководителя на старте. * крупнейшее ds&ai community – более 600 ds банка, регулярный обмен знаниями, опытом и лучшими практиками, интерактивные лекции и мастер-классы от ведущих вузов и экспертов технологических компаний, дайджест о самых последних разработках в области ds&ai и отчеты с крупнейших конференций мира, регулярные внутренние митапы. * расширенный дмс, льготное страхование для семьи, корпоративная пенсионная программа. * ипотека для сотрудников по дисконтной программе. * сберпрайм+ и скидки у партнёров. * бонус за рекомендации в команду. сбер для it масштабное agile-комьюнити цифровых людей продуктовых команд профессиональных it-сообществ серверов внедрений в год, изменения каждые 30 сек пао сбербанк представляет бренд сбер","['python', 'pandas', 'numpy', 'llm (gpt, claude, mistral и др.)', 'prompt engineering']",3.0
