vacancy_url,id,vacancy_name,text_clean,skills_final,experience_years_min
https://hh.ru/vacancy/129853395,34,Data Engineer (разработчик DWH),"задаем тренды в технологиях ритейла x5 group — российская розничная торговая компания, управляющая продуктовыми торговыми сетями «пятёрочка», «перекрёсток» и «чижик», а также цифровыми сервисами «vprok.ru перекрёсток», 5post, «много лосося» и медиаплатформой food.ru. x5 tech - it-компания и основной цифровой партнер торговых сетей и бизнесов x5 group. команда из более 4000 специалистов разрабатывает решения, которые помогают 372 тысячам сотрудников группы работать с максимальным технологическим комфортом, а миллионам покупателей быстро и удобно покупать свежие продукты. в x5 технологии открыта позиция ""инженер обработки данных"" со знанием flink проектирование платформы потоковой обработки данных наш стек: trino, apache airflow, clickhouse, python, spark, sql, s3, flink основные задачи: проектирование, разработка и сопровождение стриминговых/батчевых пайплайнов реализация бизнес‑логики и трансформаций во flink / spark / java в режиме стрима инкрементальная загрузка и выкладка витрин (dbt / trino / iceberg) проектирование хранения и партиционирования в data lake (колоночные форматы, снапшоты, iceberg) построение надёжных схем доставки данных: семантики доставки, идемпотентность, обработка дупликатов документирование архитектуры пайплайнов и участие в принятии архитектурных решений по платформе. что для нас важно: технические навыки: spark, flink, clickhouse, kafka понимание форматов и концепций data lake (iceberg, parquet/orc, снапшоты, инкременты) умение мыслить потоками данных: от события до витрины, а не только «запросами» опыт работы с дашбордами/витринами через trino/sql/dbt будет плюсом софт‑скиллы: системное мышление, инициативность, готовность обсуждать архитектуру и учиться новым паттернам. что мы предлагаем: официальное оформление с белой зп полугодовые премии по результатам работы возможность работать удалённо или в гибридном формате удобный офис рядом с м. «добрынинская» / офис с бесплатной парковкой на м. «волгоградский проспект» или мцд «калитники» гибкий график начала работы широкий пакет дмс (включая выезд за рубеж и стоматологию), страхование жизни и здоровья возможность учиться и развиваться за счёт компании: внешние тренинги и семинары по профессиональным тематикам, участие в крупнейших конференциях страны, программы развития цифровых и управленческих навыков (цифровая академия, школа тимлидов), онлайн и офлайн мастер-классы, корпоративный университет «x5 полка», школа наставников и многое другое программы мотивации для спикеров и авторов: внутренняя школа speak up school, write up, ачивки и баллы за выступления, подготовка спикеров к крупнейшим конференциям страны, сообщество авторов на хабре, возможность шерить опыт с комьюнити внутренних и внешних экспертов обмен опытом через cообщества: 12 технических комьюнити от java до devops яркая корпоративная жизнь с большим количеством мероприятий, конкурсов и возможностей для творческой реализации: регулярные внутренние митапы, демо-дни, открытые микрофоны, день it-специалиста, программы волонтерства, корпоративное предпринимательство x5 idea challenge забота о благополучии сотрудников: 7 спортивных сообществ (бег, футбол, волейбол, баскетбол, хоккей, лыжи, триатлон), ежегодная неделя здоровья скидки в экосистеме бизнесов х5 («пятёрочка», «перекрёсток», «много лосося», «перекресток впрок») программа привилегий prime-zone (скидки на товары и услуги и специальные предложения от компаний-партнёров) материальная помощь сотрудникам, попавшим в сложную жизненную ситуацию. ооо ""корпоративный центр икс 5"" представляет бренд х5 тech нашими решениями пользуются десятки тысяч людей внутри компании и миллионы клиентов вовне сообщество экспертов: можно общаться и обмениваться опытом на митапах, демо-днях и конференциях мы поможем развиваться: цифровая академия, лидерский клуб, школы технических специалистов х5 — это стабильная компания. у нас достаточно ресурсов для того, чтобы сотрудники чувствовали себя комфортно и уверенно в x5 много проектов и направлений, между которыми можно перемещаться гибридный формат работы. в х5 можно работать в офисе, дома или совмещать ключевые навыки sql python big data apache airflow apache kafka etl spark java","['sql', 'python', 'big data', 'apache airflow', 'apache kafka', 'etl', 'spark', 'java', 'flink', 'clickhouse', 'kafka', 'trino', 'dbt', 'iceberg']",3.0
https://hh.ru/vacancy/130038332,162,Data Engineer по построению DWH,"компания ecofinance развивает и внедряет продукты онлайн-кредитования для более чем 4,6 млн зарегистрированных клиентов. ecofinance входит в десятку крупнейших мфк в россии по объему выданных займов. наша компания помогает получить заём в режиме онлайн за считанные минуты — надёжно, без похода в филиал и с качественным дальнейшим обслуживанием. мы молодая и активная команда с опытом работы в банковской и финансовой сфере. мы верим в то, что финансовые услуги должны быть простыми и доступными. мы объединяем современные технологии, процессы и финансы в самый удобный для клиента формат. это дает миллионам клиентов доступ к финансовым сервисам в один клик или звонок. кратко о нашем проекте: цифровое пространство, объединяющее все необходимые инструменты и сервисы для предоставления финансовых услуг в россии и европейских странах - бэк офисы, crm системы, маркетинговый инструментарий, приложение по no-codeвизуальному программированию рисковой логики принятия решений и управление телефонией. наши проекты состоят из множества сервисов интегрированных между собой, что позволяет создавать многофункциональные бизнес решения и иметь контроль над каждой частью процесса. мы в поиске data engineer для усиления текущей команды! обязанности: архитектура и технологии проектирование и оптимизация многослойной dwh-архитектуры на postgresql (data-инструменты kafka, debezium, dbt, airflow); миграция bi; ведение проекта миграции дата-платформы из looker в finebi: перенос дашбордов, настройка ассоциаций и формул; etl и процессы; настройка, мониторинг и поддержка etl-пайплайнов: загрузка через kafka,debezium, dbt; bi и аналитика; разработка и сопровождение аналитических дашбордов/отчетов в finebi. требования: образование и soft skills: высшее образование в информатике, прикладной математике, экономике или смежных областях. способность решать сложные аналитические задачи с вниманием к деталям и предлагать data-driven улучшения процессов. технический стек: streaming и cdc: опыт работы с kafka и debezium для потоковой передачи и change data capture; etl и оркестрация: глубокое знание sql (запросы, оптимизация больших бд), python (анализ, автоматизация), процессы etl (проектирование, оптимизация), планировщики (airflow, dbt, dkron); dwh и автоматизация: построение многослойных хранилищ данных, разработка и поддержка автоматизированных пайплайнов обработки; bi-инструменты: looker, finebi, power bi, superset — создание дашбордов, отчетов и визуализаций. преимущество: знание процессов управления данными (data governance) в финансовом секторе (мфо, банки). условия работы: возможность влиять на ключевые бизнес-процессы компании; работу с сильной командой и современными технологиями; конкурентную зарплату и гибкий формат работы; офис в центре москвы, метро цветной бульвар; балуем своих коллег вкусным кофе и свежими фруктами; программа корпоративных скидок bestbenefits; дополнительное медицинское страхование здоровья. ключевые навыки etl sql dwh apache kafka debezium bi dbt apache airflow dkron postgresql finebi looker (bi)","['etl', 'sql', 'dwh', 'apache kafka', 'debezium', 'bi', 'dbt', 'apache airflow', 'dkron', 'postgresql', 'finebi', 'looker (bi)', 'kafka', 'airflow', 'looker', 'power bi', 'superset']",3.0
https://hh.ru/vacancy/127475059,186,"Senior ML Engineer (NLP, Production)","мы в поиске senior nlp engineer в международную компанию к нашим партнерам в loqos ai. компания разрабатывает ai-ботов для автоматизации клиентской поддержки, hr-процессов и маркетинга. помимо чат-ботов, они также разрабатывают ai-переводчик на основе llm для браузера, cv-фильтр для анализа вложений для службы поддержки, ai-ассистентов на основе rag-llm, а также ai-агентов, включая автономных ai инфлюенсеров c функциями генерации текста и изображений. обязанности: ml production: - оптимизация моделей: : квантизация (llm: awq, gptq, bnb, gguf и др., vllm compressor), дистилляция, прунинг; - оптимизация инференса: speculative decoding, performance testing, distributed kv-cache, scaling, batching; - деплой моделей: vllm, ray serve, ray cluster, tensorrt-llm; - мониторинг: grafana. software engineering: разработка бэкенда для процессинга данных, для оценки работы моделей (eval). - python, fastapi, ray, asyncio; - oop, solid, dry, kiss, concurrency; - metrics: llm-as-a-judge, n-gram-based (bleu, meteor), embedding-based; - qa: end-to-end testing, performace testing, ci/cd; - ops: dvc, wandb; взаимодействие с командами разработки: документирование технических требований и участие в реализации r&d-проектов. требования: опыт работы с выкаткой в прод моделей llm, tts, stt и другими моделями машинного обучения; знание инструментов для управления данными и версионирования моделей (dvc, mlflow, wandb); глубокие знания python, pytorch, numpy и опыт работы с linux; 5+ лет опыта в области машинного обучения, желательно с фокусом на nlp. будет плюсом: профильное образование в области математики, ml или computer science; опыт работы с voip-технологиями. условия: формат работы - удаленный; компенсация изучения английского языка до 50%; 4 day-off в год за счет компании; возможность развивать свои компетенции и применять знания на практике. ключевые навыки python numpy pytorch nlp dvc mlflow wandb llm tts stt","['python', 'numpy', 'pytorch', 'nlp', 'dvc', 'mlflow', 'wandb', 'llm', 'tts', 'stt']",6.0
https://hh.ru/vacancy/129577973,192,Senior Big Data Engineer,"a publicly traded technology consulting and engineering firm that helps large enterprises solve complex business challenges through ai, data, cloud, and digital engineering. the company focuses on building scalable, high-impact solutions that improve efficiency, accelerate revenue growth, reduce costs, and manage risk. its core capabilities include ai-driven automation, data and analytics, cloud-native platforms, devops, and personalized digital customer experiences. it works across multiple industries such as retail and e-commerce, financial services, manufacturing, technology and media, pharma and life sciences, and insurance, partnering with fortune 1000 companies to deliver measurable business outcomes at enterprise scale. mandatory: readiness for evening calls (after 10 am pst) with us more than twice per week strong experience in code validation and functional testing. prepare unit and integration tests ability to verify spark jobs, validate code, and ensure migration results are accurate occasional participation in calls with us & india teams is expected, frequency can be negotiated. scala - primary, python - secondary apache spark (batch & streaming) – must! deep knowledge of hdfs internals and migration strategies. experience with apache iceberg (or similar table formats like delta lake / apache hudi) for schema evolution, acid transactions, and time travel. running spark and/or flink jobs on kubernetes (e.g., spark-on-k8s operator, flink-on-k8s). experience with distributed blob storages like ceph or aws s3 and similar building ingestion, transformation, and enrichment pipelines for large-scale datasets. infrastructure-as-code (terraform, helm) for provisioning data infrastructure. nice to have: quality assurance engineering experinece experience with apache flink prior experience in migration projects or large-scale data platform modernization. apple experience preferred (to enable him/her to get up to speed on our tooling set quickly and more independently) responsibilities: perform functional testing, code validation, and automated data quality checks for all pipeline changes. validate spark/flink job outputs to ensure correctness, completeness, and reliability of the migrated data. apply sql and analytics tools (e.g., jupyter, superset) to verify data consistency and accuracy. develop and maintain data ingestion and transformation jobs; document the testing outcomes. implement spark-based etl/elt jobs for moving data from hdfs/hive to cloud storage. write clean, testable, and maintainable scala/python code for data pipelines. apply data quality checks and validations during migration. document technical work, including pipeline design and operational procedures. participate in code reviews and follow best practices defined by the team. support troubleshooting and bug fixing during migration activities. what they offer: remote start: you will begin working fully remotely for the first 4–5 months, with transition to a hybrid format afterward. opportunity to influence architecture and product direction directly. collaboration with a highly skilled, cross-functional global team. flexible working hours (core working hours: 8:00 p.m. – 12:00 a.m. (gmt+5). the remaining 4 working hours can be completed flexibly before 8:00 p.m. (gmt+5) ) competitive compensation package and long-term engagement potential. a culture of trust, respect, and camaraderie, focused on excellence and innovation. ключевые навыки scala python apache spark jupyter notebook amazon web services английский — c1 — продвинутый","['scala', 'python', 'apache spark', 'jupyter notebook', 'amazon web services', 'английский — c1 — продвинутый', 'hdfs', 'apache iceberg', 'kubernetes', 'ceph', 'aws s3', 'sql', 'jupyter', 'superset', 'terraform', 'helm']",3.0
https://hh.ru/vacancy/129593915,240,Технический лидер (Lead Data Engineer),"присоединяйтесь к команде лидеров bi-аналитики! мы — команда разработки modus, одной из ведущих платформ для бизнес-аналитики в россии. наш продукт входит в топ-3 bi-систем, помогая крупнейшим компаниям управлять данными, определять тренды и прогнозировать показатели. что мы создаем? modus bi — мощная аналитическая платформа, упрощающая работу с большими данными. modus etl — инструмент для сбора, обработки и организации данных из разрозненных источников. наши клиенты — ведущие компании финансового, промышленного и государственного секторов. мы работаем над крупнейшими национальными проектами, сотрудничая с ключевыми игроками рынка. почему работать у нас — отличное решение? ✅условия: оклад + прозрачный kpi. ✅ дмс со стоматологией — заботимся о здоровье сотрудников. ✅ официальная аккредитация — modus включен в реестр it-компаний, а продукты modus bi — в реестр отечественного по. ✅ стабильный рост и развитие — активно расширяем аудиторию пользователей и совершенствуем платформу. ✅ интересные задачи и влияние на продукт — работаем с большими данными и создаем решения, которыми пользуются лидеры рынка. мы активно развиваемся и наращиваем аудиторию пользователей, поэтому в проектный отдел мы ищем технического лидера dwh (lead data engineer) с экспертизой проектирования и реализации хранилища данных на clickhouse. главная миссия: стать техническим лидером и архитектором-практиком в командe внедрения. брать на себя самые сложные технические вызовы в проектах, проектировать ключевые компоненты хранилищ и etl, быть примером и наставником для сильных разработчиков. освободить cto от операционной технической нагрузки для фокуса на стратегии продукта и масштабировании бизнеса. вам предстоит не просто управлять, а собственноручно проектировать и строить архитектурно сложные модули корпоративных хранилищ, одновременно усиливая команду вокруг себя. обязанности: техническое лидерство и разработка: проектирование и реализация архитектурно сложных модулей dwh и высоконагруженных etl-процессов собственными силами. систематизация подходов к разработке, оптимизации и развитию dwh. решение нетривиальных технических проблем (производительность, согласованность данных, отказоустойчивость), которые блокируют проекты. ведение и эволюция архитектуры хранилищ данных на проектах. оптимизация процессов разработки и выполнения запросов через совместное с cto внедрение инструментов, стандартов и автоматизации. усиление команды и экспертизы: проведение код-ревью и архитектурных сессий, наставничество разработчиков на сложных задачах. декомпозиция сложных запросов на технические задачи и помощь команде в оценке. взаимодействие и коммуникация: взаимодействие с бизнес-заказчиками и смежными командами для согласования требований и решений. умение доступно объяснять сложные технические концепции нетехнической аудитории. управление ожиданиями стейкхолдеров. требования к кандидату: технический стек (hard skills): опыт проектирования и оптимизации высоконагруженных систем на clickhouse: глубокое понимание движков семейства mergetree для решения задач бизнес-аналитики, практический опыт настройки репликации, шардирования и партиционирования для отказоустойчивости и масштабирования. глубокое понимание принципов построения dwh. опыт разработки и оптимизации etl/elt-процессов. продвинутое знание sql, опыт оптимизации сложных запросов. опыт работы с clickhouse: знание особенностей движков (mergetree, replacingmergetree), опыт настройки репликации, шардирования и партиционирования. опыт работы с субд greenplum и postgresql. опыт интеграции с различными источниками данных: api (rest), файлы (json, xml и др.). опыт работы с bi-системами (например, superset, datalens, отечественные bi-платформы и др.). понимание подходов к мониторингу качества данных (data quality) и пайплайнов. опыт разработки архитектурной документации. знание скриптовых языков (python, bash) для автоматизации процессов. навыки и личные качества: стремление брать на себя и решать самые сложные технические задачи в проекте. готовность нести ответственность за архитектурные решения и их долгосрочные последствия. умение самостоятельно разобраться в проблеме, предложить варианты решений и аргументированно защитить их перед cto и командой. системное мышление и прагматизм: умение найти баланс между идеальным архитектурным решением и практическими ограничениями проекта (сроки, бюджет, ресурсы). гибкость, умение адаптироваться к изменениям требований. навыки ведения переговоров и аргументации своей позиции. что вас ждет? прямое взаимодействие с cto: вы будете работать в тесной связке с cto, перенимая стратегическое видение и напрямую влияя на технические стандарты компании. карьерный трек эксперта: возможность роста в рамках индивидуальной ветки (principal engineer, solution architect) без обязательного перехода в чистый менеджмент. ключевая роль в масштабировании: возможность стать фундаментом для роста направления компании, с перспективой формирования вокруг вас сильной инженерной команды условия: конкурентная белая заработная плата; после ис дмс со стоматологией или компенсация спорта; премии по результатам работы; поддержка вашего развития и предоставление возможностей для карьерного роста; гибкое начало рабочего дня (с 8 – 10 мск); ноутбук, связь.","['clickhouse', 'mergetree', 'greenplum', 'postgresql', 'etl/elt', 'sql', 'bi-системы']",6.0
https://hh.ru/vacancy/129522044,388,Data Engineer,"привет! мы успешная аккредитованная it-компания marketguru. marketguru — ведущий аналитический сервис для продавцов на wildberries, помогающий увеличивать продажи и принимать взвешенные бизнес-решения на основе данных. мы работаем с 2020 года и за это время мы стали №1 в категории «бизнес на маркетплейсах». в нашей команде 200+ человек. в самом сервисе зарегистрировано более 780.000 пользователей. являемся резидентами сколково и аккредитованной it-компанией. наш продукт стал незаменимым инструментом для тысяч успешных продавцов на wildberries. мы помогаем нашим клиентам расти, а сами стремимся к постоянному развитию и поиску талантов. мы ищем специалиста с глубоким опытом работы с clickhouse и смежными технологиями, который поможет нам строить надежную и масштабируемую dwh инфраструктуру. что нужно будет делать: отвечать за хранение и обработку больших объёмов данных выстраивать архитектуру, оптимизацию запросов и поддержку стабильной работы кластера на уровне de требования: глубокое понимание работы clickhouse: архитектура кластера (ноды, шарды, реплики, механизмы синхронизации) колоночное хранение данных и его особенности запись батчами (batch insert) и работа с большими объёмами опыт работы получение данных с kafka в clickhouse практический опыт с replicatedmergetree/replacing и distributed tables понимание архитектуры хранения и оптимизации производительности навыки и опыт: sql — отличный уровень: написание и оптимизация запросов под clickhouse, умение работать с индексами, партиционированием, join-стратегиями. python — уверенное владение для построения etl/elt-процессов, интеграций и автоматизаций. airflow — опыт построения dag-ов, управление зависимостями и мониторинг пайплайнов. gitlab/github — уверенная работа с системами контроля версий будет плюсом: опыт работы с высоконагруженными хранилищами данных что мы предлагаем: работа в быстроразвивающейся продуктовой it компании конкурентные условия труда: мы готовы обсуждать условия дохода по итогам встречи удаленный формат работы дружелюбная атмосфера и команда лучших профессионалов, которые готовы поддерживать на всех уровнях возможность работать с современной команде с современным стеком технологий вовлеченное и гибкое руководство: мы слышим и слушаем своих сотрудников","['clickhouse', 'архитектура кластера', 'колоночное хранение данных', 'запись батчами', 'работа с большими объёмами', 'опыт работы получение данных с kafka в clickhouse', 'практический опыт с replicatedmergetree/replacing и distributed tables', 'sql для написания и оптимизации запросов под clickhouse', 'умение работать с индексами, партиционированием, join-стратегиями', 'python для построения etl/elt-процессов, интеграций и автоматизаций', 'airflow для построения dag-ов, управление зависимостями и мониторинг пайплайнов', 'gitlab/github для работы с системами контроля версий']",1.0
https://hh.ru/vacancy/115496430,427,"Старший Data Scientist, Эффективность рекламы","ozon tech озон ozon tech — это 7000 it-специалистов в сотнях кросс-функциональных команд, и мы продолжаем расти. мы создаём продукт, которым пользуются все: родные, друзья, соседи. работаем в режиме уникального и сложного хайлоад: если на рынке нет подходящих решений, мы разрабатываем собственные. исповедуем концепцию everything as сode* и автоматизируем рутину по максимуму. работать в ozon tech — значит всегда держать в голове аналитику и данные, а в сердце — веру в технократию. мы привыкли, что нас окружают люди, которым небезразличен продукт и которые хотят делать его хорошо: так, как сделали бы для себя. если откликается, присоединяйся к команде! привет! это команда эффективность рекламы. наша группа отвечает за эффективность товарной рекламы - продавец платит маркетплейсу за продвижение своих товаров в поиске, каталоге, рекомендациях и других местах. наша задача - чтобы реклама была интересна пользователю, эффективна для рекламодателя и выгодна платформе. мы развиваем высоконагруженную и сложную систему с множеством классических и не только ds задач на пересечении рекламы и работы с данными. за этим стоит несколько команд разработки, ml и ds специалистов. сейчас мы ищем старшего data scientist, который будет развивать модели предсказания вероятностей целевых действий в ml-команде. наш стек: python, hadoop (spark, hive, hdfs), clickhouse, airflow, grafana. вы будете: улучшать качество алгоритмов ранжирования, работать с полным циклом задач в области ml. проводить исследования, подбирать подходящие решения и запускать a/b-тесты для проверки гипотез. работать с данными: от анализа и построения признаков до автоматизации пайплайнов расчёта датасетов на pyspark. взаимодействовать с ml-инженерами и командами разработки для вывода моделей в прод. нам важно: опыт внедрения ml-моделей в прод. глубокие знания теории машинного обучения. хорошее знание python. опыт написания sql-запросов или работы со pyspark. проактивность и интерес к задачам в области рекламы и computational advertising. будет плюсом: опыт внедрения ml-моделей для рекламы. опыт работы в рекламных системах. знание hadoop, pyspark, clickhouse, airflow, grafana. знание и опыт работы с нейросетевыми архитектурами. работа в ozon tech — это люди, которым не всё равно — ценим инициативу и самостоятельность, доверяем друг другу и даём свободу в принятии решений. открытая культура — мы учимся на ошибках и фокусируемся на решении проблем, а не на поиске виноватых. сильная команда, которой мы гордимся — обсуждаем идеи, обмениваемся экспертизой, просим совета и поддерживаем друг друга. современный стэк и развитая инженерная культура — реализуем амбициозные проекты и создаём решения, которых ещё нет на рынке. а ещё формат работы на выбор: гибрид, удалёнка, офисы в москве, санкт‑петербурге, иннополисе, новосибирске, алматы, минске и коворкинги по россии участие в конференциях. билеты, дорога и проживание за наш счёт митапы, техтолки, хакатоны и конкурсы. внутри ozon, по россии и в международном сообществе завтраки в офисе и кофе-поинты для перекуса в любое время дмс со стоматологией и льготная медицинская страховка для близких, страхование от несчастных случаев, полис выезжающего за рубеж, онлайн-поддержка психолога курсы по запросу и поддержка в карьерном развитии. свой ozon универ. бесплатные курсы программирования, математики и английского языка для детей сотрудников партнёрские скидочные программы: от кафе и ресторанов до страхования имущества беговой, волейбольный и футбольный клубы. скидки на клубные карты фитнес-сетей. йога в офисе бесплатные курсы route 256 по go, qa, c#. оплачиваемая стажировка route start для начинающих специалистов зарплатные проекты от ozon банка (эксклюзивные условия для сотрудников), сбера, т-банка, райффайзен банка, альфа-банка льготная жилищная программа для сотрудников реферальный бонус за рекомендацию друга ооо «интернет решения» представляет бренд ozon tech *код в основе всего видео воспроизвести видео ключевые навыки it поиск python ml hadoop spark yarn hive hdfs mlflow разработка поисковых технологий data science","['it', 'поиск', 'python', 'ml', 'hadoop', 'spark', 'yarn', 'hive', 'hdfs', 'mlflow', 'разработка поисковых технологий', 'data science', 'hadoop (spark, hive, hdfs)', 'clickhouse', 'airflow', 'grafana']",3.0
https://hh.ru/vacancy/129297885,457,Data Scientist,"часть европейской банковской группы otp — одной из ведущих банковских групп центральной и восточной европы. сильная команда профессионалов с локальной и международной экспертизой мы предлагаем медицинская страховка дмс для каждого сотрудника, чтобы забота о здоровье стала проще 21 день отпуска дополнительный отпуск для эффективной перезагрузки специальные условия по банковским продуктам для сотрудников бесплатные курсы от ведущих платформ linkedin learning, coursera, udemy и другие корпоративные курсы о команде: команда cvm (customer value management) ipotekabank занимается разработкой и внедрением аналитических решений для повышения ценности взаимодействия с клиентами. мы ищем data scientist, который будет участвовать в полном цикле разработки ml моделей — от идеи и сборки данных до промышленного внедрения. обязанности: разработка и внедрение моделей машинного обучения для задач cvm. полный цикл работы с моделями: сбор данных, подготовка, обучение, тестирование, деплой, мониторинг. анализ данных и построение прогнозных моделей для оптимизации клиентских предложений. взаимодействие с кампейном и бизнес-командами для формулирования задач и интерпретации результатов. поддержка и мониторинг моделей в продакшене. требования: обязательно: уверенное владение python и sql. знание классических алгоритмов ml: linear regression, logistic regression, decision tree, random forest. опыт работы с алгоритмами бустинга: xgboost, lightgbm, catboost. будет преимуществом: опыт работы с mlflow. знание greenplum. понимание алгоритмов nlp и геоаналитики. навыки работы с power bi. мы предлагаем: участие в стратегических проектах банка. возможность влиять на развитие клиентских сервисов. современные технологии и подходы к работе с данными. конкурентную заработную плату и социальный пакет. присоединяйтесь к нашей команде работа в ipoteka bank otp group — это профессиональный рост команда профессионалов медицинская страховка особые условия по продуктам банка образовательные курсы корпоративная культура ключевые навыки big data sql python алгоритмы и структуры данных русский — c2 — в совершенстве английский — b2 — средне-продвинутый","['big data', 'sql', 'python', 'алгоритмы и структуры данных', 'русский — c2 — в совершенстве', 'английский — b2 — средне-продвинутый', 'linear regression', 'logistic regression', 'decision tree', 'random forest', 'xgboost', 'lightgbm', 'catboost', 'mlflow', 'greenplum', 'nlp', 'geoanalytics', 'power bi']",1.0
